Title,Company,Company_Rating,Company_Reviews,Location,Salary_Range,Experience,Post_Day,Tags,Description
Data Scientist,Gojek,3.7,109,['Bengaluru'],Not disclosed,1-2 Yrs,10 Days Ago,"['Operations research', 'Prototype', 'Version control', 'Machine learning', 'Data processing', 'SQL', 'Python', 'Technical documentation']","Bachelor s or Master s Degree in Computer Science, Statistics, Operations Research, or ..."
Data Scientist,Paypal,3.9,834,['Bengaluru'],Not disclosed,5-10 Yrs,13 Days Ago,"['Unix', 'data science', 'Analytical', 'Customer support', 'Customer experience', 'Operations', 'Financial services', 'Monitoring']",Understanding the funnel so that we can identify friction points and opportunities to i...
Data Scientist,Paypal,3.9,834,['Bengaluru'],Not disclosed,3-8 Yrs,13 Days Ago,"['Analytical', 'Application development', 'Risk management', 'Business intelligence', 'Data mining', 'Financial services', 'Analytics', 'Monitoring']","Trouble shooting any data, system and flow challenges while maintaining flawless strate..."
Data Scientist,Paypal,3.9,834,['Bengaluru'],Not disclosed,4-8 Yrs,13 Days Ago,"['deep learning', 'data science', 'Diversity and Inclusion', 'Machine learning', 'Analytics', 'Monitoring', 'SQL', 'Python']",These solutions will directly impact customer experience with PayPal products . What do...
Data Analyst & Data Scientist,Varuna Integrated Logistics,3.7,359,['Gurugram'],Not disclosed,3-8 Yrs,14 Days Ago,"['Computer hardware', 'Costing', 'Coding', 'Analytical', 'Data processing', 'MS Office', 'Data mining', 'Forecasting']",1.     Standard Rate Chart     a.     Current process       i.     Mktrate       ii. ...
Data Scientist Azure,Leading Client,No rating,No reviews,['Bengaluru'],Not disclosed,6-11 Yrs,11 Days Ago,"['Azure', 'Data Science', 'CNN', 'R', 'NLP', 'Data Scientist', 'LLM', 'machine learning']","5+ years relevant real-world experience researching, developing, and delivering high im..."
Data Scientists - NLP,Ford,4.5,740,['Chennai'],Not disclosed,2-7 Yrs,7 Days Ago,"['Procurement', 'Change management', 'Analytical', 'Market research', 'German', 'Data mining', 'Automotive', 'Python']","Bachelors in Engineering/ MS or PhD in Computer Science, Operational research, Statisti..."
Data Scientist,Tata Technologies,3.7,2199,"['Hybrid', 'Pune', 'Bengaluru']",Not disclosed,6-9 Yrs,14 Days Ago,"['Tensorflow', 'Pyspark', 'Keras', 'Data']",minimum 5+ years of hands on experience in using machine learning techniques or forecas...
Data Scientist,Maxima Consulting,4.0,21,['Pune'],15-25 Lacs PA,5-10 Yrs,3 Days Ago,"['Cloud', 'Python', 'SQL', 'gcp', 'AI', 'aws', 'azure', 'Artificial Intelligence']",Position Title: Data Scientist . What Youll Need: . Bachelors Degree in Industrial & Sy...
Data Scientist,TCG Living Spaces,No rating,No reviews,"['Mumbai Suburban', 'Navi Mumbai', 'Mumbai (All Areas)']",30-45 Lacs PA,5-10 Yrs,3 Days Ago,"['SAS', 'Artificial Intelligence', 'Aiml', 'ETL', 'Machine Learning', 'Data Mining', 'Data Processing', 'Data Analytics']",The artificial intelligence (AI) landscape is being reshaped by the rise of generative...
Data Scientist,Headstrait,No rating,No reviews,['Mumbai'],Not disclosed,1-5 Yrs,6 Days Ago,"['algorithms', 'python', 'modeling', 'data analysis', 'data analytics', 'natural language processing', 'predictive', 'machine learning']",Headstrait is looking for Data Scientist to join our dynamic team and embark on a rewar...
Data Scientist,MAD Works,3.5,5,['Hyderabad'],Not disclosed,2-5 Yrs,6 Days Ago,"['algorithms', 'python', 'natural language processing', 'neural networks', 'predictive analytics', 'machine learning', 'artificial intelligence', 'text analytics']",MAD Works is looking for Data Scientist to join our dynamic team and embark on a reward...
